pmid,study,region,estimation_period,population,sample_size,method,parameter_type,estimate_measure,point_estimate,unit,uncertainty_type,uncertainty_level,uncertainty_low,uncertainty_high,distribution,notes,evidence_locations,project,ci_95_derived_lower,ci_95_derived_upper,ci_95_source
32356867,Cheng et al. 2020,"Taiwan, Mainland China, and others",NR,COVID-19 patients with confirmed transmission links,58 transmission pairs,"Bayesian framework with gamma distribution fitted to observed serial intervals; MCMC using NUTS algorithm in Stan with 4 chains, 1000 warmup and 500 samples each",serial_interval,median,4.11,days,CrI,95%,0.19,20.39,"Gamma(shape=1.09, scale=5.26)","Overall serial interval estimate across all countries and settings. Stratified estimates also reported: by exposure setting—Household median 5.23 (95% CrI 0.74–17.56), Community median 2.89 (95% CrI 0–37.34), Others median 3.26 (95% CrI 0.1–18.22); by region—Taiwan median 4.1 (95% CrI 0.06–27.78), China median 5.03 (95% CrI 1.46–12.13), Others median 2.89 (95% CrI 0.04–20.64).","['eTable 3', 'eMethods', 'eTable 1']",p12,0.19,20.39,reported
32511616,Du/2020,86 Chinese cities in mainland China outside Hubei Province,"January 20, 2020 to February 19, 2020",339 confirmed COVID-19 infector-infectee pairs identified via contact tracing; 556 distinct individuals,339 infector-infectee pairs,"Contact tracing data from provincial health departments; normal distribution fitted using Matlab fitdist; model comparison via AIC for normal, lognormal, Weibull, gamma",serial_interval,mean,5.29,days,CI,95%,4.72,5.86,Normal,"SD = 5.32 days (95% CI 4.95–5.75). 9.73% of serial intervals were negative, suggesting presymptomatic transmission. Stratified estimates also reported: locally infected index case mean 4.92 (95% CI 4.09–5.75, n=158), imported index case mean 5.61 (95% CI 4.83–6.40, n=181), household secondary mean 4.57 (95% CI 3.76–5.38, n=149), non-household secondary mean 5.85 (95% CI 5.06–6.64, n=190).","['Technical Validation paragraph 1', 'Appendix Table 2', 'Appendix Table 3']",p12,4.72,5.86,reported
32296168,He/2020,Publicly available sources within and outside mainland China,21 January 2020 to 14 February 2020 (hospital admissions); transmission pairs from publicly available sources,Infector-infectee transmission pairs with clear epidemiologic links,77 transmission pairs,"Gamma distribution fitted to transmission pairs data; maximum likelihood estimation; 95% CIs by bootstrapping with 1,000 replications",serial_interval,mean,5.8,days,CI,95%,4.8,6.8,gamma,"7.6% negative serial intervals estimated. Median also reported as 5.2 days (95% CI, 4.1–6.4 days). Infectiousness inferred to start 2.3 days before symptom onset; 44% (95% CI, 25–69%) of transmission presymptomatic.","['Results paragraph 2', 'Fig 1c', 'Methods / Statistical analysis']",p12,4.8,6.8,reported
32296168,He/2020,Publicly available sources within and outside mainland China,21 January 2020 to 14 February 2020 (hospital admissions); transmission pairs from publicly available sources,Infector-infectee transmission pairs with clear epidemiologic links,77 transmission pairs,"Gamma distribution fitted to transmission pairs data; maximum likelihood estimation; 95% CIs by bootstrapping with 1,000 replications",serial_interval,median,5.2,days,CI,95%,4.1,6.4,gamma,"Mean serial interval reported as 5.8 days (95% CI, 4.8–6.8 days). 7.6% negative serial intervals estimated.","['Results paragraph 2', 'Fig 1c', 'Methods / Statistical analysis']",p12,4.1,6.4,reported
33490015,Li et al. 2021,"20 provinces in mainland China, except Hubei province",21 January 2020 to 29 February 2020,"4,111 confirmed COVID-19 cases from contact-tracing data",509 transmission events,"Bayesian approach with doubly interval-censored likelihood fitted to gamma, lognormal, and Weibull distributions using CmdStan in R",serial_interval,mean,6.05,days,CI,95%,5.68,6.44,gamma,"Main headline SI estimate for all 509 transmission pairs. SD 4.32 (95% CI: 3.97–4.72). Subset-specific SI estimates: imported-first 6.52 (5.96–7.13), local first-second 6.01 (5.44–6.64), local second-third+ 4.39 (3.74–5.15).","['Table 2', 'Results Section 3.1']",p12,5.68,6.44,reported
33490015,Li et al. 2021,"20 provinces in mainland China, except Hubei province",21 January 2020 to 29 February 2020,Imported cases (zeroth generation) infecting 1st-generation local cases,261 transmission events,Bayesian approach with doubly interval-censored likelihood fitted to gamma distribution using CmdStan in R,serial_interval,mean,6.52,days,CI,95%,5.96,7.13,gamma,SI for imported-first subset (SI_1^0). SD 4.79 (95% CI: 4.25–5.43).,"['Table 2', 'Results Section 3.1']",p12,5.96,7.13,reported
33490015,Li et al. 2021,"20 provinces in mainland China, except Hubei province",21 January 2020 to 29 February 2020,1st-generation local cases infecting 2nd-generation local cases,186 transmission events,Bayesian approach with doubly interval-censored likelihood fitted to gamma distribution using CmdStan in R,serial_interval,mean,6.01,days,CI,95%,5.44,6.64,gamma,SI for local first-second subset (SI_2^1). SD 4.15 (95% CI: 3.62–4.79).,"['Table 2', 'Results Section 3.1']",p12,5.44,6.64,reported
33490015,Li et al. 2021,"20 provinces in mainland China, except Hubei province",21 January 2020 to 29 February 2020,2nd-generation or higher local cases infecting subsequent-generation local cases,62 transmission events,Bayesian approach with doubly interval-censored likelihood fitted to gamma distribution using CmdStan in R,serial_interval,mean,4.39,days,CI,95%,3.74,5.15,gamma,SI for local second-third+ subset (SI_3+^2+). SD 2.76 (95% CI: 2.19–3.54). SI decreases with increasing generation.,"['Table 2', 'Results Section 3.1']",p12,3.74,5.15,reported
33490015,Li et al. 2021,"20 provinces in mainland China, except Hubei province",21 January 2020 to 29 February 2020,"4,111 confirmed COVID-19 cases from contact-tracing data; GI estimated from imported cases with travel history (Hubei travelers)",67 transmission events,Bayesian approach with doubly interval-censored likelihood fitted to gamma distribution using CmdStan in R,generation_interval,mean,4.81,days,CI,95%,4.13,5.58,gamma,Main GI estimate for all 67 transmission pairs. SD 2.52 (95% CI: 1.93–3.32). GI and SI have slightly different means and clearly different SDs.,"['Table 2', 'Results Section 3.3']",p12,4.13,5.58,reported
33490015,Li et al. 2021,"20 provinces in mainland China, except Hubei province",21 January 2020 to 29 February 2020,Imported cases (zeroth generation) infecting 1st-generation local cases; GI estimated from Hubei travelers,30 transmission events,Bayesian approach with doubly interval-censored likelihood fitted to gamma distribution using CmdStan in R,generation_interval,mean,5.47,days,CI,95%,4.57,6.45,gamma,GI for imported-first subset (GI_1^0). SD 2.03 (95% CI: 1.35–3.07).,"['Table 2', 'Results Section 3.3']",p12,4.57,6.45,reported
33490015,Li et al. 2021,"20 provinces in mainland China, except Hubei province",21 January 2020 to 29 February 2020,1st-generation local cases infecting 2nd-generation local cases; GI estimated from Hubei travelers,18 transmission events,Bayesian approach with doubly interval-censored likelihood fitted to gamma distribution using CmdStan in R,generation_interval,mean,5.01,days,CI,95%,3.58,7.06,gamma,GI for local first-second subset (GI_2^1). SD 3.17 (95% CI: 1.81–5.67). Small sample size.,"['Table 2', 'Results Section 3.3']",p12,3.58,7.06,reported
33490015,Li et al. 2021,"20 provinces in mainland China, except Hubei province",21 January 2020 to 29 February 2020,2nd-generation or higher local cases infecting subsequent-generation local cases; GI estimated from Hubei travelers,19 transmission events,Bayesian approach with doubly interval-censored likelihood fitted to gamma distribution using CmdStan in R,generation_interval,mean,4.25,days,CI,95%,2.82,6.23,gamma,GI for local second-third+ subset (GI_3+^2+). SD 3.13 (95% CI: 1.74–6.0). Small sample size. GI decreases with increasing generation.,"['Table 2', 'Results Section 3.3']",p12,2.82,6.23,reported
34594686,Liu/2020,"Jingzhou City, Hubei Province, China","January 1, 2020 to March 12, 2020","1,365 confirmed COVID-19 cases and 116 infector-infectee pairs in Jingzhou City, Hubei Province",116 infector-infectee pairs,"Serial interval defined as time between symptom onset in infector and infectee; pairs selected by strict inclusion criteria (clear contact history, no other contacts, no travel to affected areas); distribution fitted using gamma, Weibull, and lognormal methods; best-fit method (gamma) used for mean and SD",serial_interval,mean,5.81,days,SD,,,,gamma,"SD = 3.24. Gamma distribution was best fit among gamma, Weibull, and lognormal. Weibull and lognormal estimates not reported separately.","['Results paragraph 2', 'Figure 2 caption', 'Methods paragraph 2']",p12,,,missing
32566233,Najafi/2020,"Kermanshah province, western Iran",22 February to 29 March 2020,"1477 confirmed, probable and suspected cases of SARS-CoV-2",21 infector–infectee pairs (12 primary cases and 21 secondary cases),"Fitted Weibull, log-normal, and Gamma distributions using 'est.GT' function in R0 package; Bayesian approach with 'SI from sample' in EpiEstim package",serial_interval,mean,5.71,days,SD,,,,Weibull,"SD = 3.89 days. Median SI = 4.75 days reported in Discussion. Weibull provided the best fit among Weibull, log-normal, and Gamma distributions.","['Results / SI for COVID-19', 'Discussion', 'Fig 2']",p12,,,missing
32145466,Nishiura/2020,Multiple countries (publicly available information from research articles and official outbreak investigation reports; includes pairs from China and Germany),Late 2019 to 12 February 2020,Infector-infectee pairs with COVID-19; 12 of 28 pairs were family clusters,28 infector-infectee pairs,"Bayesian approach with doubly interval censored likelihood; right truncation adjustment for exponential growth phase; lognormal, gamma, and Weibull distributions compared using WAIC; exponential growth rate r=0.14",serial_interval,median,4.0,days,CrI,95%,3.1,4.9,lognormal,"Best-fit model with right truncation (WAIC=224.0), all pairs n=28. Alternative estimates: mean 4.7 days (95% CrI: 3.7, 6.0), SD 2.9 days (95% CrI: 1.9, 4.9). Without right truncation (lognormal, WAIC=128.0): median 3.9 days (95% CrI: 3.1, 4.8). Certain pairs only (n=18) with right truncation (Weibull): median 4.6 days (95% CrI: 3.5, 5.9), mean 4.8 days (95% CrI: 3.8, 6.1), SD 2.3 days (95% CrI: 1.6, 3.5). Certain pairs only without right truncation (lognormal): median 4.1 days (95% CrI: 3.2, 5.0).","['Abstract', 'Results']",p12,3.1,4.9,reported
32347198,Kwok/2020,Hong Kong,23 January–13 February 2020,First 53 laboratory-confirmed cases of COVID-19 in Hong Kong and their close contacts,"26 infector–infectee paired data (17 certain, 9 probable)","Doubly interval-censored likelihood with Bayesian framework, fitting lognormal distribution with right truncation; model comparison by WAIC",serial_interval,mean,4.77,days,CrI,95%,3.47,6.9,lognormal,"Best-fit distribution by WAIC (WAIC: 214.7 vs 217.6 gamma, 219.0 Weibull). SD: 4.08 days (95% CrI: 2.26–8.05). Empirical mean from all 26 pairs: 4.58 days (95% bCI: 3.35–5.85). Without right truncation: mean 4.41 days (95% CrI: 2.46–11.15). Restricted to 17 certain pairs only: empirical 6.06 days; estimated truncated 6.23 days; estimated non-truncated 5.86 days (see Table S2).","['Results / Serial interval', 'Abstract', 'Table S2']",p12,3.47,6.9,reported
32568070,Tindale/2020,Singapore,"January 23 to February 26, 2020",COVID-19 cases in contact-traced cluster,93 confirmed cases; ICC method uses first 4 cases per cluster,"ICC (index case to case) mixture model (Vink et al., 2014) accounting for unknown intermediates",serial_interval,mean,4.17,days,CI,95%,2.44,5.89,Normal (ICC mixture model),"Bootstrap sd 0.882. Without intermediates (gamma) estimate: 4.0 (2.73, 5.57) days. Empirical case-pair estimates: early 4.44 (-2.81, 11.7), late 3.18 (-1.52, 7.88). Rate of unknown intermediates r=0.05.","['Table 1', 'Results / Serial intervals', 'Abstract']",p12,2.44,5.89,reported
32568070,Tindale/2020,"Tianjin, China","January 21 to February 22, 2020",COVID-19 cases in contact-traced cluster,135 confirmed cases; ICC method uses first 4 cases per cluster,"ICC (index case to case) mixture model (Vink et al., 2014) accounting for unknown intermediates",serial_interval,mean,4.31,days,CI,95%,2.91,5.72,Normal (ICC mixture model),"Bootstrap sd 0.716. Without intermediates (gamma) estimate: 5.0 (3.82, 6.12) days. Empirical case-pair estimates: early 5.48 (-0.968, 11.9), late 4.18 (-2.33, 10.7). Rate of unknown intermediates r=0.05.","['Table 1', 'Results / Serial intervals', 'Abstract']",p12,2.91,5.72,reported
32876267,Viego/2020,Bahia Blanca city (Argentina),"March 20, 2020 to May 8, 2020",Symptomatic patients with SARS-CoV-2 in Bahia Blanca city; first 18 secondary patients; 70% hospital staff,17 infectee-infector pairs,Gamma distribution fitted by maximum likelihood; contact tracing of infector-infectee pairs,serial_interval,mean,6.82,days,CI,95%,4.04,9.61,Gamma,Full sample parametric estimate. Abstract reports 6.8 days (95%CI: 4.0-9.6). Bayesian approach: mean 6.88 (95%CrI: 2.0-32.14). Median parametric: 5.24 (95%CI: 2.96-8.11). Median Bayesian: 6.4 (95%CrI: 4.6-9.2). SD parametric: 5.86 (95%CI: 1.80-3.69).,"['Table 3', 'Results paragraph 2', 'Abstract']",p12,4.04,9.61,reported
32876267,Viego/2020,Bahia Blanca city (Argentina),"March 20, 2020 to May 8, 2020",Symptomatic patients with SARS-CoV-2 in Bahia Blanca city; most certain infectee-infector pairs; 70% hospital staff,13 most certain pairs,Gamma distribution fitted by maximum likelihood; contact tracing of infector-infectee pairs,serial_interval,mean,5.46,days,CI,95%,2.84,8.08,Gamma,"Most certain pairs parametric estimate. Abstract reports 5.5 days (95%CI: 2.8, 8.1). Bayesian approach: mean 6.12 (95%CrI: 1.31-31.73). Median parametric: 4.13 (95%CI: 2.04-6.93). Median Bayesian: 5.15 (95%CrI: 2.95-7.50). SD parametric: 4.81 (95%CI: 2.48-13.12).","['Table 3', 'Results paragraph 2', 'Abstract']",p12,2.84,8.08,reported
32556265,Xu et al. 2020,Mainland China (outside Hubei province),15 January–29 February 2020,9120 confirmed COVID-19 cases reported by 27 provincial and 264 urban health commissions,662 household transmission pairs,Normal distribution fitted via MCMC with Gibbs sampling and noninformative flat prior; serial interval computed as days between symptom onset dates of primary and secondary cases,serial_interval,mean,5.0,days,CrI,95%,4.4,5.5,Normal,"Household transmissions. Median serial interval: 5.0 days (IQR, 1.5–8.5). SD: 5.2 days (95% CrI, 4.9–5.7). 25 of 339 household transmission pairs had negative-valued serial intervals (presymptomatic transmission).","['Results paragraph 2', 'Figure 1C', 'Methods / Statistical Analysis']",p12,4.4,5.5,reported
32556265,Xu et al. 2020,Mainland China (outside Hubei province),15 January–29 February 2020,9120 confirmed COVID-19 cases reported by 27 provincial and 264 urban health commissions,745 nonhousehold transmission pairs,Normal distribution fitted via MCMC with Gibbs sampling and noninformative flat prior; serial interval computed as days between symptom onset dates of primary and secondary cases,serial_interval,mean,5.2,days,CrI,95%,4.6,5.8,Normal,"Nonhousehold transmissions. Median serial interval: 5.2 days (IQR, 1.6–8.8). SD: 5.3 days (95% CrI, 4.9–5.7). 25 of 340 nonhousehold transmission pairs had negative-valued serial intervals (presymptomatic transmission).","['Results paragraph 2', 'Figure 1C', 'Methods / Statistical Analysis']",p12,4.6,5.8,reported
32594928,Yang/2020,"Shiyan city, Hubei province, China",20 January 2020 to 29 February 2020,Confirmed COVID-19 cases identified through contact tracing in Shiyan city,131 infector-infectee pairs,Contact tracing data; normal distribution fitted to serial intervals; parametric accelerated failure time models,serial_interval,mean,4.6,days,CI,95%,3.7,5.5,normal,"Mean from fitted normal distribution; Abstract and Discussion refer to this as 'median' but Results section explicitly states 'mean'; since normal distribution, mean=median. Observed median was 4 days (range -10 to 19 days). SD=4.4 days (95% CI 3.8-5.0). 10 negative serial intervals observed (7.6% of pairs), indicating presymptomatic transmission.","['Results - Estimation of incubation period and serial interval', 'Abstract', 'Fig 2']",p12,3.7,5.5,reported
32460229,You/2020,China (outside Hubei Province),"As of March 31, 2020",Confirmed COVID-19 cases outside Hubei Province in China,198 transmission pairs with symptom onset dates,Contact tracing and transmission chain inference from publicly available data from provincial/municipal health commissions,serial_interval,mean,4.6,days,SD,,,,,"SD = 5.55 days; median = 4.00 days; min = -13.00, Q1 = 1.00, Q3 = 7.00, max = 21.00 days. Negative serial intervals observed, indicating pre-symptomatic transmission. Generation time not calculated due to insufficient infection dates. 645 chains of transmission identified among 14,829 confirmed cases; only 198 had symptom onset dates available.","['Table 1', 'Section 3', 'Abstract']",p12,,,missing
31995857,Li/2020,"Wuhan, Hubei Province, China","December 2019 – January 22, 2020",First 425 laboratory-confirmed cases of NCIP in Wuhan,6 pairs of cases from 5 clusters,Fitted a gamma distribution to data from cluster investigations; serial interval defined as the delay between illness onset dates in successive cases in chains of transmission,serial_interval,mean,7.5,days,CI,95%,5.3,19.0,gamma,"Mean ± SD = 7.5 ± 3.4 days; 95% CI 5.3 to 19. Based on 6 pairs of cases from 5 clusters (4 clusters in Wuhan, 1 in Huanggang). Individual serial interval values from Table 2: 5, 9, 7, 7, 3, 7 days.","['Results paragraph 2', 'Figure 2B', 'Table 2']",p12,5.3,19.0,reported
33088292,Zhang/2020,China (mainland China),From December 2019 onward; literature search up to May 2020,COVID-19 confirmed cases in mainland China,10 studies,Meta-analysis using random-effects model (Hartung-Knapp-Sidik-Jonkman method),serial_interval,mean,5.4,days,CI,95%,4.53,6.26,,"Pooled estimate from meta-analysis of 10 studies (Bi et al., 2020; Du et al., 2020c,b; He et al., 2020b; Li et al., 2020; Zhao et al., 2020; Tindale et al., 2020; Wu et al., 2020a; Zhang et al., 2020). 95% prediction interval [2.89, 7.90]. Heterogeneity accounted for via REM.","['Section 5 (Serial Interval)', 'Table 1', 'Figure 3']",p12,4.53,6.26,reported
